Genus,MH01-A,MH95HP,MH10-B,MH99-A,MH10-A,ALT01HP,MH49-B,MH24HP,MH24RC,NEG03RC,ALT03HP,ALT03RC,MH53RC,NEG02HP,MH41HP,MH41RC,ALT02HP,ALT02RC,MH63HP,MilliQBA4
Gluconobacter,7,0,3,1,0,0,9,0,0,1,0,0,0,1,0,0,0,0,0,0
Kineococcus,0,3,1,0,0,0,4,1,0,0,1,0,3,0,0,9,0,0,0,0
Kribbella,0,1,0,2,2,0,0,1,0,0,0,3,1,0,0,5,2,3,2,0
Azorhizobium,19,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Propionigenium,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,13,2
Odoribacter,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,12,0,0,0,0
Sporotomaculum,0,0,0,0,0,3,0,0,0,1,3,0,1,3,1,3,1,0,5,0
Conexibacter,0,0,10,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
Dyadobacter,4,0,5,0,0,1,0,0,3,0,0,2,0,4,0,0,0,0,1,1
Leptospira,0,0,0,1,0,0,0,0,0,0,0,2,5,1,0,10,0,0,0,1
Salinibacterium,2,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0
Thermogemmatispora,0,0,0,5,4,0,7,0,0,1,0,0,0,2,0,0,0,0,0,0
Maricaulis,10,0,0,2,0,1,2,0,0,0,0,0,0,4,0,0,0,0,0,0
Phaeobacter,9,0,2,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,3
Niastella,2,0,0,0,0,0,5,0,3,0,0,0,9,0,0,0,0,0,0,0
Flavisolibacter,0,0,6,4,0,0,6,0,0,0,0,0,0,0,0,3,0,0,0,0
Marinococcus,0,0,1,0,0,0,1,0,3,3,0,0,6,4,0,1,0,0,0,0
Jonesia,0,0,0,0,0,4,2,0,1,0,0,2,0,0,4,3,0,3,0,0
Phycicoccus,0,1,0,0,1,0,2,1,0,0,0,1,8,0,0,3,0,1,0,0
Williamsia,0,0,0,0,0,0,13,0,0,0,0,5,0,0,0,0,0,0,0,0
Brochothrix,0,0,0,4,1,0,0,1,0,1,0,0,0,7,1,1,1,0,0,1
Saccharomonospora,0,0,2,1,0,0,4,0,0,0,0,2,2,0,0,4,0,2,0,0
Kushneria,0,0,1,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tetrasphaera,0,2,0,0,4,1,0,2,0,0,1,0,0,0,0,1,0,0,1,5
Candidatus Azobacteroides,0,0,0,0,0,0,0,0,0,16,0,0,0,1,0,0,0,0,0,0
Desulfonatronovibrio,0,3,0,0,0,3,2,0,0,1,2,0,0,2,0,1,2,0,1,0
Sanguibacter,0,0,3,0,0,0,1,0,0,8,1,1,0,0,0,2,0,0,0,0
Succiniclasticum,0,0,0,0,0,2,0,0,4,0,0,0,9,0,1,0,0,0,0,0
Bdellovibrio,0,0,0,1,1,0,3,0,0,2,0,1,0,2,0,4,0,1,0,1
Carboxydocella,0,0,0,0,0,0,0,0,1,0,3,1,6,1,0,4,0,0,0,0
Citricoccus,0,0,0,0,4,0,7,0,0,0,0,0,3,0,0,0,0,0,1,1
Mitsuokella,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0
Geobacter,1,0,7,0,0,0,0,2,0,0,0,0,0,1,1,2,0,0,2,0
Curtobacterium,0,0,0,0,0,0,1,0,0,0,0,1,13,0,0,0,0,0,0,0
Akkermansia,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,8,0,0,0,0
Rhodovulum,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vogesella,1,1,1,1,0,0,0,0,0,3,5,0,0,2,0,0,0,0,1,0
Promicromonospora,0,0,0,1,6,0,0,3,0,0,1,0,0,0,0,2,0,0,0,2
Thermobaculum,0,0,0,0,0,0,1,0,0,1,0,0,6,7,0,0,0,0,0,0
Pseudoclavibacter,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,10,0,0
Sejongia,0,0,13,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Borrelia,0,1,0,0,0,0,0,0,0,1,0,0,3,0,2,6,0,0,0,2
Terriglobus,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mesoplasma,1,0,0,4,0,0,0,0,0,4,0,0,0,1,0,3,0,0,2,0
Methylophaga,0,2,1,0,0,0,4,0,1,0,0,0,0,7,0,0,0,0,0,0
Brenneria,9,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Thiobacillus,6,0,0,4,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0
Candidatus Glomeribacter,0,1,1,1,0,0,8,0,0,1,0,0,1,1,0,0,0,0,0,0
Magnetospirillum,12,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Alkalibacillus,0,1,0,3,0,0,2,0,0,0,0,3,0,2,0,3,0,0,0,0
Gemmata,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salinivibrio,0,0,1,3,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0
Desulfuromusa,0,0,0,5,1,0,1,1,0,0,2,1,0,1,2,0,0,0,0,0
Microcoleus,0,0,0,1,0,0,7,0,4,0,0,0,0,0,0,2,0,0,0,0
Niabella,10,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Kineosporia,0,0,2,0,1,0,5,0,0,0,1,0,0,0,0,0,1,0,1,2
Pimelobacter,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,7,0,0
Thauera,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Candidatus Phytoplasma,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,9
Pseudoalteromonas,0,0,1,2,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0,0
Eubacterium,0,0,0,8,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
